dataset,phase,model,model_note,horizon,seed,history_hours,aggregation,sensor_count,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,fit_time_sec,inference_time_sec,config_hash,data_hash
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,1,2025,24,1h,50,98700,20150,20200,2.8849653457414988,5.564767327635426,0.07605526547864569,0.0641183714324345,0.7823684254786101,194.74607299995841,0.3904360000160523,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,1,2025,24,1h,50,98700,20150,20200,2.7905283193304986,5.457044678061667,0.07296762732883942,0.062149971720797045,0.7907126870420952,143.364227699989,0.2096113000297919,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,1,2026,24,1h,50,98700,20150,20200,5.591034898474665,9.491157885122748,0.159258796346175,0.11668074326456204,0.3669087967954032,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,1,2026,24,1h,50,98700,20150,20200,3.213089498010012,6.806321891697,0.07878645672158648,0.07247937077291376,0.6744236486076459,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,1,2026,24,1h,50,98700,20150,20200,2.8192962060116304,5.454106189996587,0.07312365979296744,0.06268776108897743,0.7909380187845793,173.0440502000274,0.2781933000078425,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,1,2026,24,1h,50,98700,20150,20200,2.9282079025306325,5.534700342029477,0.07538964534848183,0.06462661393434199,0.7847138416940093,264.56822270003613,0.679340599977877,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,1,2026,24,1h,50,98700,20150,20200,2.8192962060116304,5.454106189996587,0.07312365979296744,0.06268776108897743,0.7909380187845793,173.53139989997726,0.17410830000881106,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,1,3407,24,1h,50,98700,20150,20200,5.591034898474665,9.491157885122748,0.159258796346175,0.11668074326456204,0.3669087967954032,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,1,3407,24,1h,50,98700,20150,20200,3.213089498010012,6.806321891697,0.07878645672158648,0.07247937077291376,0.6744236486076459,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,1,3407,24,1h,50,98700,20150,20200,2.8239175165761816,5.419658530023569,0.07222317988450337,0.06261230900528009,0.7935705136973759,172.12744750001002,0.2704784999950789,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,1,3407,24,1h,50,98700,20150,20200,3.0637050030019024,5.759431838285415,0.07806902946132893,0.06792594620340764,0.7668759019451434,260.4705857000081,0.5364107000059448,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,1,3407,24,1h,50,98700,20150,20200,2.8239175165761816,5.419658530023569,0.07222317988450337,0.06261230900528009,0.7935705136973759,206.75902970001334,0.3570685999584384,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.11684587888487992,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.16180632561920383,0.1372829311941865,0.03329679158873122,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,4.155731150404137,7.496425351193922,0.1162329321289965,0.08954314709398455,0.6064587805868561,306.010797200026,0.2915966000291519,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,5.354900963342012,9.161225189156148,0.15226646036401886,0.11263028492846681,0.41225505489146974,128.3303476999863,0.9551971000037156,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,42,24,1h,50,98600,20050,20100,4.155731150404137,7.496425351193922,0.1162329321289965,0.08954314709398455,0.6064587805868561,136.81085869995877,0.8363500999985263,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,2024,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.11684587888487992,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,2024,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.16180632561920383,0.1372829311941865,0.03329679158873122,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,2024,24,1h,50,98600,20050,20100,4.030911698887004,7.269958364476932,0.11195842553127101,0.0871129307283279,0.6298773756353591,199.22098739998182,0.3574689999804832,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,2024,24,1h,50,98600,20050,20100,3.9763487297741333,7.242463580068443,0.11099947616775364,0.08661733507273124,0.6326716690108309,285.0249346999917,0.5566038999822922,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,2024,24,1h,50,98600,20050,20100,4.030911698887004,7.269958364476932,0.11195842553127101,0.0871129307283279,0.6298773756353591,144.67214809998404,0.27279699995415285,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,2025,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.11684587888487992,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,2025,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.16180632561920383,0.1372829311941865,0.03329679158873122,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,2025,24,1h,50,98600,20050,20100,4.206038004652185,7.434342628978274,0.11455508396561068,0.09025245868249475,0.6129501254751586,84.34401349996915,0.9527000000234693,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,2025,24,1h,50,98600,20050,20100,4.122864090174585,7.426607582567508,0.11493282805959419,0.08941567344424942,0.6137551169640365,239.51705820002826,0.5046379999839701,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,2025,24,1h,50,98600,20050,20100,4.206038004652185,7.434342628978274,0.11455508396561068,0.09025245868249475,0.6129501254751586,83.49782639998011,0.34214890003204346,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,2026,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.11684587888487992,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,2026,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.16180632561920383,0.1372829311941865,0.03329679158873122,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,2026,24,1h,50,98600,20050,20100,4.023886999822968,7.278841200636554,0.11102450621754754,0.08689182094049448,0.6289723505894151,162.2732334000175,0.18693950003944337,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,2026,24,1h,50,98600,20050,20100,4.0606934571147555,7.351564358827948,0.11486207810917194,0.08825816770609435,0.6215214137548601,261.2115057000192,0.5255389999947511,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,2026,24,1h,50,98600,20050,20100,4.023886999822968,7.278841200636554,0.11102450621754754,0.08689182094049448,0.6289723505894151,166.62978919997113,0.18005909997737035,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,3407,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.11684587888487992,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,3407,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.16180632561920383,0.1372829311941865,0.03329679158873122,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,3407,24,1h,50,98600,20050,20100,3.9757807995430867,7.292131595519612,0.11158080215962925,0.08631185757411333,0.6276161990607455,161.59722369996598,0.18241599999601021,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,3407,24,1h,50,98600,20050,20100,4.038523926900987,7.347613006707075,0.1129384448960875,0.08781398073867128,0.621928157187101,245.66636869998183,0.536742799973581,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,3407,24,1h,50,98600,20050,20100,3.9757807995430867,7.292131595519612,0.11158080215962925,0.08631185757411333,0.6276161990607455,160.6576590000186,0.1790218999958597,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
