file_name,original_path,copied_path,file_type,row_count,column_count,columns,can_support_table,notes
data_inventory.csv,D:\2026_PD\outputs\tables\data_inventory.csv,02_TABLE_CANDIDATE_DATA\Table01_candidate_data\data_inventory.csv,csv,31,9,relative_path|absolute_path|file_name|extension|size_bytes|role_in_project|row_count|column_count|columns,YES,candidate data
train_val_test_split_summary.csv,D:\2026_PD\outputs\tables\train_val_test_split_summary.csv,02_TABLE_CANDIDATE_DATA\Table01_candidate_data\train_val_test_split_summary.csv,csv,3,6,split|start_time|end_time|time_steps|rows|points,YES,candidate data
coverage_by_granularity.csv,D:\2026_PD\data\raw\package_extracted\06_audit\coverage_by_granularity.csv,02_TABLE_CANDIDATE_DATA\Table01_candidate_data\coverage_by_granularity.csv,csv,3,17,freq_label|freq_alias|rows|nodes|time_steps|start_time|end_time|observed_slots|total_slots|coverage_pct|missing_pct|mean_reliability|median_reliability|mean_tti_observed|median_tti_observed|tti_gt_1_05_pct_observed|tti_gt_1_20_pct_observed,YES,candidate data
phase13_strong_baseline_metrics.csv,D:\2026_PD\outputs\locked\phase13_full\tables\phase13_strong_baseline_metrics.csv,02_TABLE_CANDIDATE_DATA\Table01_candidate_data\phase13_strong_baseline_metrics.csv,csv,105,18,phase|model|horizon|seed|train_n|val_n|test_n|node_count|feature_set|MAE|RMSE|MAPE|sMAPE|R2|fit_time_sec|inference_time_sec|config_hash|data_hash,YES,candidate data
