phase,main_model,feature_group,horizon,seed,train_n,val_n,test_n,node_count,MAE,RMSE,MAPE,sMAPE,R2,relative_MAE_change_from_speed_only_percent,fit_time_sec,inference_time_sec,config_hash,data_hash
phase15,TCN,speed_reliability,1,3407,66585,12201,12265,51,1.1048356920468578,2.574119088184078,0.015463531738906326,0.015203560216629232,0.9741569024883604,-0.06736985208220626,1739.8939541,11.443798400003288,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_volatility,1,42,66585,12201,12265,51,1.0654062082171682,2.53535332842458,0.014975656792949415,0.014625081211744785,0.9749294259094269,17.591577494118027,1073.2360195,11.052304999997432,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_volatility,1,2024,66585,12201,12265,51,1.202566486176694,2.653051575756161,0.0172050733545524,0.01671714790384724,0.972547703444811,29.987562152648728,914.624722600005,11.337223599999561,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_volatility,1,2025,66585,12201,12265,51,1.0148760956158893,2.4725495033283673,0.01417075103644674,0.013796811583054146,0.976156100262358,11.710148472371825,1817.6996985000005,10.39403719999973,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_volatility,1,2026,66585,12201,12265,51,1.0313524688646059,2.457094040451174,0.014281104724427748,0.013918662873206956,0.9764532564853146,4.940051918067057,2551.7692596999914,11.644055600001593,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_volatility,1,3407,66585,12201,12265,51,1.0653348449196953,2.5014049076921148,0.014845134268036317,0.014530875671950733,0.9755963217016355,-3.6402301198158047,1930.22395520001,12.727541899992502,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,full_features,1,42,66585,12201,12265,51,1.1306425526148924,2.459456107874222,0.0152909708462177,0.014991197378451504,0.9764079625495993,24.791877800716467,2853.304297499999,12.854245099995751,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,full_features,1,2024,66585,12201,12265,51,1.152644129339841,2.482148689164527,0.01557924228609243,0.015196342887574774,0.9759706024035745,24.59136532134633,2869.0773262000002,12.649703100003535,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,full_features,1,2025,66585,12201,12265,51,1.2719346605900401,2.6342993241397368,0.01679908899203143,0.01645297675367512,0.9729344076114599,40.005277881179666,2888.604100700002,13.108989000000292,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,full_features,1,2026,66585,12201,12265,51,1.1632968047274603,2.4694179885160925,0.015622761604777373,0.015318136316013375,0.9762164592088091,18.365380187253116,2887.5763133,13.44941880000988,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,full_features,1,3407,66585,12201,12265,51,1.3894647571052088,2.705622092972387,0.01897440970082616,0.018643868703077177,0.9714489838845399,25.677391375832098,1354.393938299996,11.690466200001538,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_only,3,42,64783,11601,11878,51,1.030488510729187,1.8904786185711382,0.014072914437129717,0.0138224838663955,0.9858057168184551,0.0,1505.7264317999943,12.140655800001696,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_only,3,2024,64783,11601,11878,51,1.0353786012784743,1.8900789679473557,0.01408760212497528,0.013879279257624739,0.9858117175787459,0.0,1440.6710987999977,12.386833800002933,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
