feature_group,horizon,MAE_mean,MAE_std,RMSE_mean,RMSE_std,relative_MAE_change_from_speed_only_percent_mean,relative_MAE_change_from_speed_only_percent_std
full_features,1,1.2215965808754885,0.1085582638362417,2.550188840533393,0.1124943231078313,26.68625851326554,7.994191042716511
full_features,3,1.1485541259064218,0.03706610759581447,1.9205423619386004,0.05919204152666999,10.230770587815773,3.2630158823819047
full_features,6,1.0806627562969857,0.05345746353352308,1.654179662804823,0.08329316185229763,16.22657419234759,4.84610882198235
speed_only,1,0.9656069591411803,0.08417013353565879,2.474047093801553,0.059136588848116255,0.0,0.0
speed_only,3,1.042189765727205,0.028340268801321233,1.9135039664326747,0.12337677009134404,0.0,0.0
speed_only,6,0.9297849753920859,0.02519146640092601,1.5047329429147396,0.030359458649598794,0.0,0.0
speed_reliability,1,1.1682658752304556,0.07664755756734501,2.5912112387748167,0.07495504330764413,21.975004280123777,15.838760266923051
speed_reliability,3,1.1139459306813586,0.06690947026494606,2.010184889976256,0.08979371288213826,6.971390254914479,7.434792757291092
speed_reliability,6,1.0552833752159458,0.10475688699177041,1.768576050889242,0.20570621961940147,13.69503805641873,13.092686539016468
speed_time,1,1.1549255906986402,0.016266871628211818,2.4536445632089494,0.0208655605317642,20.33025450937983,10.580369399540757
speed_time,3,1.0676678055523823,0.0186490227635986,1.8333228613042543,0.009536745648077646,2.5414673637536516,4.494768664604644
speed_time,6,0.9853306508350389,0.029412375455762606,1.543430911456951,0.0284472685554464,6.049940114217404,4.696546810561505
speed_volatility,1,1.0759072207588105,0.07411905973507445,2.52389067113048,0.07813009460951115,12.117821983477967,12.74060830570528
speed_volatility,3,1.012684306048207,0.049312366622722814,1.8932436721445192,0.07536877538630883,-2.7126749705574444,6.642516282389063
speed_volatility,6,0.9502898019178906,0.043753805994584574,1.53942641497336,0.061408787734342836,2.354031643433626,7.109970392332119
