phase,experiment,ratio_percent,horizon,seed,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE_100_percent,relative_MAE_change_percent
phase16,small_sample,20,1,42,13317,12201,12265,1.454406302071473,2.797706194996748,0.019869502977447214,0.01939997376398516,0.9694724813579763,1.1306425526148924,28.635376291808253
phase16,small_sample,40,1,42,26634,12201,12265,1.289346491226215,2.6096734700185236,0.017407778612784756,0.017016282502996707,0.973438069429111,1.1306425526148924,14.036614688194788
phase16,small_sample,60,1,42,39951,12201,12265,1.2589541107501199,2.523364643846193,0.01694919601041585,0.016618479423485478,0.9751659630257833,1.1306425526148924,11.348552010401077
phase16,small_sample,80,1,42,53268,12201,12265,1.2327129289368148,2.548555895326247,0.016680326572106236,0.01631461803365253,0.9746676416918265,1.1306425526148924,9.027643271152252
phase16,small_sample,100,1,42,66585,12201,12265,1.1306425526148924,2.459456107874222,0.0152909708462177,0.014991197378451504,0.9764079625495993,1.1306425526148924,0.0
phase16,small_sample,20,1,2024,13317,12201,12265,1.5114802001691865,2.7520470800478245,0.020452993114534516,0.02004969059798769,0.9704607805974772,1.152644129339841,31.13155758099104
phase16,small_sample,40,1,2024,26634,12201,12265,1.3063309498043192,2.610909880572777,0.01785585193690592,0.017414729844774855,0.9734128944549355,1.152644129339841,13.333414585861801
phase16,small_sample,60,1,2024,39951,12201,12265,1.241710765634903,2.5448067573875415,0.01681623485549015,0.01644465078353684,0.9747421188873873,1.152644129339841,7.727158281374614
phase16,small_sample,80,1,2024,53268,12201,12265,1.2126647139003799,2.5542001502891507,0.016440065553572893,0.016149715546012123,0.9745553109244991,1.152644129339841,5.207208628643663
phase16,small_sample,100,1,2024,66585,12201,12265,1.152644129339841,2.482148689164527,0.01557924228609243,0.015196342887574774,0.9759706024035745,1.152644129339841,0.0
phase16,small_sample,20,1,2025,13317,12201,12265,1.4334823920976567,2.7187056155470195,0.01955829650579484,0.019177751290274006,0.9711721890994808,1.2719346605900401,12.700945772849364
phase16,small_sample,40,1,2025,26634,12201,12265,1.3265321620376656,2.6378732023867113,0.017797413492193218,0.017441720535609242,0.9728609195717298,1.2719346605900401,4.292476896753336
phase16,small_sample,60,1,2025,39951,12201,12265,1.3269066489865426,2.678816737869589,0.01755904682993815,0.01719867373451524,0.9720119072929415,1.2719346605900401,4.3219192069977455
phase16,small_sample,80,1,2025,53268,12201,12265,1.3124919278642084,2.6466941303259133,0.017580111721227455,0.017136714403272302,0.9726791124019681,1.2719346605900401,3.188628200080193
phase16,small_sample,100,1,2025,66585,12201,12265,1.2719346605900401,2.6342993241397368,0.01679908899203143,0.01645297675367512,0.9729344076114599,1.2719346605900401,0.0
