phase,experiment,level,level_numeric,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE,relative_MAE_change_percent
phase16,noise,clean,0.0,1,42,12265,1.1306425526148924,2.459456107874222,0.0152909708462177,0.014991197378451504,0.9764079625495993,1.1306425526148924,0.0
phase16,noise,low,0.05,1,42,12265,1.1747288104810376,2.47373376352106,0.015795811884915398,0.01549641704421936,0.9761332540919635,1.1306425526148924,3.8992215324095776
phase16,noise,medium,0.1,1,42,12265,1.2846357136418078,2.5237133958825364,0.01706664462940727,0.016768503655631473,0.9751590979700366,1.1306425526148924,13.619968633832848
phase16,noise,high,0.15,1,42,12265,1.429240029168236,2.607474060031255,0.018767194901291778,0.018470987207266573,0.9734828228880205,1.1306425526148924,26.409538174798254
phase16,noise,clean,0.0,1,2024,12265,1.152644129339841,2.482148689164527,0.01557924228609243,0.015196342887574774,0.9759706024035745,1.152644129339841,0.0
phase16,noise,low,0.05,1,2024,12265,1.199368464504511,2.5003864197810217,0.016113658882711906,0.015732349045345168,0.9756161903692206,1.152644129339841,4.053665305303784
phase16,noise,medium,0.1,1,2024,12265,1.309879365649653,2.553929903402388,0.017397082085221557,0.017016739469573827,0.9745606949851263,1.152644129339841,13.641264663349821
phase16,noise,high,0.15,1,2024,12265,1.4556474537155457,2.640883051471134,0.019109313053896376,0.01873016188299321,0.9727989521216743,1.152644129339841,26.287673416533607
phase16,noise,clean,0.0,1,2025,12265,1.2719346605900401,2.6342993241397368,0.01679908899203143,0.01645297675367512,0.9729344076114599,1.2719346605900401,0.0
phase16,noise,low,0.05,1,2025,12265,1.312965664745009,2.6482239452239367,0.01725621231548744,0.01691020031600162,0.972647519797735,1.2719346605900401,3.2258735787524575
phase16,noise,medium,0.1,1,2025,12265,1.4172505725125026,2.6967360051231672,0.01848443579734979,0.018139372832293495,0.9716362163977147,1.2719346605900401,11.424793774788057
phase16,noise,high,0.15,1,2025,12265,1.5566542470304519,2.777921726914103,0.02016015821836944,0.019816340237457493,0.9699027160817452,1.2719346605900401,22.384765134738338
phase16,noise,clean,0.0,1,2026,12265,1.1632968047274603,2.4694179885160925,0.015622761604777373,0.015318136316013375,0.9762164592088091,1.1632968047274603,0.0
phase16,noise,low,0.05,1,2026,12265,1.2064816404545593,2.489095000111847,0.016130519972719835,0.015823363414778992,0.975835921330149,1.1632968047274603,3.7122800949510393
phase16,noise,medium,0.1,1,2026,12265,1.3135957914617564,2.543179146930625,0.017383103647841732,0.01707374570455854,0.9747744174850793,1.1632968047274603,12.920089363566031
phase16,noise,high,0.15,1,2026,12265,1.4550468468150946,2.6298196710319326,0.019072576643866163,0.018761792805078486,0.9730263799816591,1.1632968047274603,25.07958767719525
phase16,noise,clean,0.0,1,3407,12265,1.3894647571052088,2.705622092972387,0.01897440970082616,0.018643868703077177,0.9714489838845399,1.3894647571052088,0.0
phase16,noise,low,0.05,1,3407,12265,1.4220207614020042,2.71743965340328,0.01931291347339487,0.018987343063528846,0.9711990301227752,1.3894647571052088,2.3430608175065997
phase16,noise,medium,0.1,1,3407,12265,1.51268003333893,2.7602154632829485,0.02029143232152295,0.019971723402215025,0.9702851689586557,1.3894647571052088,8.867823066662465
phase16,noise,high,0.15,1,3407,12265,1.6387084309344286,2.8327004530635094,0.021669748963922385,0.021356678483771204,0.9687040167890073,1.3894647571052088,17.93810692604328
phase16,noise,clean,0.0,3,42,11878,1.1280393443097168,1.889791028370647,0.01493305285558039,0.014785779954253647,0.9858160402096158,1.1280393443097168,0.0
phase16,noise,low,0.05,3,42,11878,1.154337059550262,1.9031151610035861,0.015222610489751914,0.015077566131025923,0.9856153246807066,1.1280393443097168,2.3312764198519744
phase16,noise,medium,0.1,3,42,11878,1.228089462006648,1.9505908887087793,0.01606890425641261,0.015927423759289766,0.9848886832759947,1.1280393443097168,8.869381923744436
phase16,noise,high,0.15,3,42,11878,1.3315963216814695,2.0302544380237086,0.017277370070691602,0.01713994626525902,0.9836291638176333,1.1280393443097168,18.045201915923926
phase16,noise,clean,0.0,3,2024,11878,1.0965016664208578,1.8306693949955422,0.01435242495908484,0.014289618532301542,0.986689641041056,1.0965016664208578,0.0
phase16,noise,low,0.05,3,2024,11878,1.130734647920104,1.8517379147521693,0.014730624123352033,0.014667413528863688,0.9863815097714151,1.0965016664208578,3.122018191817949
phase16,noise,medium,0.1,3,2024,11878,1.2154485380073492,1.9100175865454991,0.015693023665701224,0.01563226611151868,0.9855107916406345,1.0965016664208578,10.847851419574349
phase16,noise,high,0.15,3,2024,11878,1.33047932449626,2.002482815868241,0.017022785875439,0.01696701281436679,0.9840739702927869,1.0965016664208578,21.33855927817599
phase16,noise,clean,0.0,3,2025,11878,1.1722809783054293,1.9695411691422107,0.01534955520622152,0.015233337349015738,0.9845936396313124,1.1722809783054293,0.0
