model,input_feature_group,history_hours,horizon_hours,split,n,best_epoch,MAE,RMSE,sMAPE,SeasonalHistoricalAverage_MAE,SeasonalHistoricalAverage_RMSE,SeasonalHistoricalAverage_sMAPE,delta_MAE_vs_seasonal,improvement_percent_vs_seasonal,is_best_history_for_horizon,history_label,horizon_label,best_marker,plot_order
TCN,speed_only,24,1,test,1,3,0.9832630992567496,2.522738497384306,0.0134893221437661,1.178897282310066,2.733031629503305,0.0162567476422331,0.1956341830533164,16.59467588812899,False,24h,1h,,1
TCN,speed_only,24,3,test,1,1,1.032555193627276,2.002799346189581,0.0143279136057772,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.0215266548815726,2.042218534739522,False,24h,3h,,1
TCN,speed_only,24,6,test,1,7,0.8131786034762928,1.5357511907353814,0.0114541371485847,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.1387771707394096,14.578111136911314,True,24h,6h,best,1
TCN,speed_only,72,1,test,1,4,0.917775044866484,2.4874600530074025,0.0127312215165924,1.178897282310066,2.733031629503305,0.0162567476422331,0.261122237443582,22.149702214251374,True,72h,1h,best,2
TCN,speed_only,72,3,test,1,3,0.9295604460620738,1.8950580157266264,0.0126923632422575,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.124521402446775,11.813257445133749,False,72h,3h,,2
TCN,speed_only,72,6,test,1,3,0.9355343644538096,1.5456193653694252,0.0123839469077441,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.0164214097618927,1.7250181370476,False,72h,6h,,2
TCN,speed_only,168,1,test,1,5,0.9926097419494178,2.343961904731657,0.0136274177989545,1.178897282310066,2.733031629503305,0.0162567476422331,0.1862875403606483,15.801846620225914,False,168h,1h,,3
TCN,speed_only,168,3,test,1,4,0.9244928154504194,1.775107011405854,0.0126309471657841,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.1295890330584294,12.294019979734196,True,168h,3h,best,3
TCN,speed_only,168,6,test,1,6,0.8551521452143493,1.5024703833414996,0.0118458089427276,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.096803629001353,10.168920828397484,False,168h,6h,,3
