history_hours,horizon_hours,noise_level,n,MAE,RMSE,sMAPE,horizon_label,perturbation_type,perturbation_level,baseline_MAE_at_zero,MAE_increase_vs_zero,MAE_increase_percent_vs_zero
72,1,0.0,10327,0.9177750468981328,2.487460034798854,0.0127312214217585,1h,noise,0.0,0.9177750468981328,0.0,0.0
72,1,0.01,10327,0.9530412098254863,2.491003038477158,0.0130929926636134,1h,noise,0.01,0.9177750468981328,0.03526616292735352,3.842571558961532
72,1,0.03,10327,1.0605370719261755,2.519523275624146,0.0143042850128424,1h,noise,0.03,0.9177750468981328,0.1427620250280427,15.555230610218189
72,1,0.05,10327,1.1743553132439233,2.5612525429233552,0.0156096061342801,1h,noise,0.05,0.9177750468981328,0.25658026634579045,27.95677080271166
168,3,0.0,6312,0.9244928329767534,1.7751070216475533,0.0126309473597839,3h,noise,0.0,0.9244928329767534,0.0,0.0
168,3,0.01,6312,0.9325487538133436,1.7779575475774456,0.0127159492776077,3h,noise,0.01,0.9244928329767534,0.008055920836590125,0.8713881329562122
168,3,0.03,6312,0.9737369636467956,1.798980647914289,0.0131805708486542,3h,noise,0.03,0.9244928329767534,0.049244130670042185,5.326610322276067
168,3,0.05,6312,1.0385030310114678,1.8410199912054896,0.0139138734726004,3h,noise,0.05,0.9244928329767534,0.11401019803471435,12.332188413793919
24,6,0.0,12166,0.8131822087195247,1.5357516547773626,0.0114538020366169,6h,noise,0.0,0.8131822087195247,0.0,0.0
24,6,0.01,12166,0.8394033807330905,1.5414232672614905,0.0117329277115012,6h,noise,0.01,0.8131822087195247,0.026221172013565774,3.22451373534781
24,6,0.03,12166,0.9354144859408032,1.583729273082317,0.0127579613815033,6h,noise,0.03,0.8131822087195247,0.1222322772212785,15.031351634432735
24,6,0.05,12166,1.0610525127149384,1.6674024576410904,0.0140844385766144,6h,noise,0.05,0.8131822087195247,0.24787030399541365,30.481520788031258
