model,ablation_group,history_hours,horizon_hours,epoch,split,train_loss,MAE,RMSE,sMAPE,best_val_MAE,best_epoch,elapsed_seconds,speed_only_MAE,delta_MAE_vs_speed_only,improvement_percent_vs_speed_only,improvement_percent_vs_seasonal,horizon_label,ablation_label,is_speed_only,recommended_color_group,interpretation_short
TCN,speed_only,24,1,3,test,,0.9832630992567496,2.522738497384306,0.0134893221437661,0.8757360152128963,3,549.749887900005,0.9832630992567496,0.0,0.0,16.59467588812899,1h,Speed only,True,reference,strongest direct input
TCN,speed_time,24,1,3,test,,1.117071310199624,2.4437814984989337,0.0148992883567723,1.0196775566621956,3,583.0817205000058,0.9832630992567496,-0.1338082109428745,-13.608586658445782,5.244390078607448,1h,Speed + time,False,ablation,not consistently better than speed-only
TCN,speed_reliability,24,1,13,test,,1.0193711328642543,2.4509784049959658,0.0136724494585505,0.9027635783662992,13,1498.902655900005,0.9832630992567496,-0.0361080336075047,-3.672265707398033,13.531810772624569,1h,Speed + reliability,False,ablation,not consistently better than speed-only
TCN,speed_volatility,24,1,4,test,,0.9736319463009062,2.485597563744089,0.0134651785285592,0.8710669151789516,4,779.9158702999994,0.9832630992567496,0.0096311529558433,0.9795092445881054,17.411638748283437,1h,Speed + volatility,False,ablation,not consistently better than speed-only
TCN,full_features,24,1,6,test,,1.1337988849178022,2.447204438823493,0.0148718541785995,1.039376550165906,6,971.6788820000074,0.9832630992567496,-0.1505357856610526,-15.309817461353214,3.825473013551519,1h,Full features,False,ablation,not consistently better than speed-only
TCN,speed_only,24,3,7,test,,0.8726501516228795,1.8923725486152283,0.0123574988232095,0.7873563658789349,7,1033.420358599993,0.8726501516228795,0.0,0.0,17.212296857462317,3h,Speed only,True,reference,strongest direct input
TCN,speed_time,24,3,10,test,,0.9792680796558838,1.8228380339604175,0.013405071555535,0.8800807328442439,10,1329.090250299996,0.8726501516228795,-0.1066179280330043,-12.217717241522902,7.097529376755693,3h,Speed + time,False,ablation,not consistently better than speed-only
TCN,speed_reliability,24,3,12,test,,0.9557108457571408,1.846281502078249,0.0128838468747369,0.900904391821207,12,1352.60395840001,0.8726501516228795,-0.0830606941342614,-9.518212307623198,9.332387507750736,3h,Speed + reliability,False,ablation,not consistently better than speed-only
TCN,speed_volatility,24,3,9,test,,0.965007074474586,1.8194710856754828,0.0130150698534608,0.8595371126316814,9,936.000999099997,0.8726501516228795,-0.0923569228517063,-10.58349931870738,8.450460859398351,3h,Speed + volatility,False,ablation,not consistently better than speed-only
TCN,full_features,24,3,12,test,,1.0175650825121525,1.7982787581716948,0.0135388547355644,0.9497086819508253,12,1070.3136096999951,0.8726501516228795,-0.1449149308892727,-16.606303295744862,3.4643197820316094,3h,Full features,False,ablation,not consistently better than speed-only
TCN,speed_only,24,6,11,test,,0.8293011010173276,1.438978310195123,0.0111278266632436,0.7492300287882487,11,1108.2298727000016,0.8293011010173276,0.0,0.0,12.884492801089172,6h,Speed only,True,reference,strongest direct input
TCN,speed_time,24,6,13,test,,0.9041421439681774,1.4869522283977843,0.0119901952540062,0.8465870842566857,13,1113.1804607999948,0.8293011010173276,-0.0748410429508498,-9.024592257147631,5.022673483641375,6h,Speed + time,False,ablation,not consistently better than speed-only
TCN,speed_reliability,24,6,3,test,,1.0787106337916512,1.8900558294654413,0.014595737375225,1.067660877847264,3,522.6167914999969,0.8293011010173276,-0.2494095327743236,-30.07466557904792,-13.31520465647468,6h,Speed + reliability,False,ablation,not consistently better than speed-only
TCN,speed_volatility,24,6,2,test,,0.9438298987495688,1.5828280244317874,0.0129382047985782,0.9029088660998222,2,449.5621314000018,0.8293011010173276,-0.1145287977322413,-13.810279232928252,0.853598001737872,6h,Speed + volatility,False,ablation,not consistently better than speed-only
TCN,full_features,24,6,11,test,,0.9086783526858158,1.4987160100532977,0.0120733035012432,0.8952768391014164,11,1111.4153951000044,0.8293011010173276,-0.0793772516684881,-9.571584020702955,4.546158834483891,6h,Full features,False,ablation,not consistently better than speed-only
