train_ratio,train_ratio_percent,horizon_hours,model,feature_group,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,mae_full_train_mean,mae_degradation_vs_full_pct,n_train_windows_mean,n_test_windows_mean
0.2,20.0,1,TCN,speed_only,1.0431741849708793,0.056149625986379466,2.40148378912555,0.09295199643203521,0.0142695043050562,0.0008081057869148769,0.9800523406333312,6.440660536227827,12431.0,6488.0
0.4,40.0,1,TCN,speed_only,1.0383416347527181,0.020205346643172726,2.4035154197439916,0.050124160159326206,0.014022856939078902,0.0004007160089997375,0.9800523406333312,5.947569502432805,24756.0,6488.0
0.6,60.0,1,TCN,speed_only,0.9625596974251744,0.0242668448098149,2.3592600335388783,0.02455813885018807,0.013064727326539322,0.0003548620962326139,0.9800523406333312,-1.7848682649798755,37036.0,6488.0
0.8,80.0,1,TCN,speed_only,1.0000236083194154,0.07524241492861634,2.3465034172985972,0.039994654549337344,0.013553047946858498,0.0008580868179779779,0.9800523406333312,2.0377756225936134,49141.0,6488.0
1.0,100.0,1,TCN,speed_only,0.9800523406333312,0.07601392441315646,2.343277610318163,0.010357540431033046,0.01330892942136008,0.0007930487601959274,0.9800523406333312,0.0,61291.0,6488.0
0.2,20.0,3,TCN,speed_only,1.0125757589690736,0.036917199475137476,1.801175725701616,0.011825156132006184,0.0136338185195851,0.00038808715271473963,0.9570834672345256,5.798061886377774,12405.0,6312.0
0.4,40.0,3,TCN,speed_only,1.0849979554141278,0.0968833822554246,1.8843350599650144,0.07245205382345386,0.014546613685020379,0.0011212937002664776,0.9570834672345256,13.365029546399818,24450.0,6312.0
0.6,60.0,3,TCN,speed_only,1.0208494347160157,0.030792604001089168,1.7963013474411258,0.033564974897533996,0.0137201640795211,0.0003800677976294078,0.9570834672345256,6.662529409868571,36509.0,6312.0
0.8,80.0,3,TCN,speed_only,0.9509362960496329,0.06476049830293859,1.7608986928762285,0.027786776896401015,0.012864165799357341,0.0007318722758789516,0.9570834672345256,-0.6422816186194139,47924.0,6312.0
1.0,100.0,3,TCN,speed_only,0.9570834672345256,0.07888375086312592,1.8131314871396225,0.07976805911618198,0.013201418699198919,0.0011191939864252651,0.9570834672345256,0.0,59597.0,6312.0
0.2,20.0,6,TCN,speed_only,0.9546915445084853,0.04793188099490413,1.5359535094169199,0.05489184418048951,0.01288004393123918,0.0006413736291616632,0.8628667427380426,10.641828827365023,12393.0,6321.0
0.4,40.0,6,TCN,speed_only,0.9635869672377263,0.05804977580836814,1.5060739735132407,0.05379976340162871,0.012832842891212259,0.0006690289212217609,0.8628667427380426,11.672743832967642,24742.0,6321.0
0.6,60.0,6,TCN,speed_only,0.9372605353815423,0.07869077057621744,1.5068872770783401,0.07819059361521515,0.01254362026922046,0.0009792163031879116,0.8628667427380426,8.6217012382971,37069.0,6321.0
0.8,80.0,6,TCN,speed_only,0.9846644949071901,0.059018843358775976,1.547645093217356,0.11288995571838939,0.013322942196902079,0.000985436231916547,0.8628667427380426,14.115476485124423,49304.0,6321.0
1.0,100.0,6,TCN,speed_only,0.8628667427380426,0.022016536854425867,1.4508423722431112,0.03981714199281505,0.011551945123878759,0.00037027369349419454,0.8628667427380426,0.0,61570.0,6321.0
