model,split,n,MAE,RMSE,sMAPE
LSTM,test,5,0.9282936433642707,1.6810972628275926,0.01219472723388541
LSTM,val,63,1.0293037832936223,1.8367595288274392,0.013605847479408052
TCN,test,5,0.9316082795393822,1.6710785344810435,0.012422266424981477
TCN,val,71,1.0673171222871065,1.890844514188491,0.014276090888366854
