model,input_feature_group,history_hours,horizon_hours,split,n,best_epoch,MAE,RMSE,sMAPE,SeasonalHistoricalAverage_MAE,SeasonalHistoricalAverage_RMSE,SeasonalHistoricalAverage_sMAPE,delta_MAE_vs_seasonal,improvement_percent_vs_seasonal,is_best_history_for_horizon
TCN,speed_only,24,1,test,1,3,0.9832630992567496,2.522738497384306,0.013489322143766106,1.178897282310066,2.733031629503305,0.0162567476422331,0.19563418305331648,16.59467588812899,False
TCN,speed_only,24,3,test,1,1,1.032555193627276,2.0027993461895806,0.014327913605777252,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.021526654881572682,2.042218534739522,False
TCN,speed_only,24,6,test,1,7,0.8131786034762928,1.5357511907353814,0.011454137148584738,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.13877717073940965,14.578111136911314,True
TCN,speed_only,72,1,test,1,4,0.9177750448664841,2.4874600530074025,0.012731221516592468,1.178897282310066,2.733031629503305,0.0162567476422331,0.261122237443582,22.149702214251374,True
TCN,speed_only,72,3,test,1,3,0.9295604460620738,1.8950580157266264,0.01269236324225759,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.12452140244677501,11.813257445133749,False
TCN,speed_only,72,6,test,1,3,0.9355343644538097,1.5456193653694252,0.012383946907744131,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.01642140976189277,1.7250181370476,False
TCN,speed_only,168,1,test,1,5,0.9926097419494178,2.343961904731657,0.013627417798954562,1.178897282310066,2.733031629503305,0.0162567476422331,0.18628754036064832,15.801846620225914,False
TCN,speed_only,168,3,test,1,4,0.9244928154504194,1.775107011405854,0.012630947165784157,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.1295890330584294,12.294019979734195,True
TCN,speed_only,168,6,test,1,6,0.8551521452143493,1.5024703833414996,0.01184580894272768,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.09680362900135309,10.168920828397484,False
