history_hours,horizon_hours,target_variable,window_count,mean_input_observed_ratio,mean_target_observed_ratio,mean_input_missing_mask_ratio
24,1,congestion_index,97308,0.9649168105396212,0.9735581863772763,0.03508318946026552
24,1,speed,97308,0.9649168105396212,0.9735581863772763,0.03508318946026552
24,1,travel_time,97308,0.9649168105396212,0.9735581863772763,0.03508318946026552
24,1,travel_time_delay,97308,0.9649168105396212,0.9735581863772763,0.03508318946026552
24,3,congestion_index,97002,0.9648258970604354,0.9743647897294498,0.03517410293945331
24,3,speed,97002,0.9648258970604354,0.9743647897294498,0.03517410293945331
24,3,travel_time,97002,0.9648258970604354,0.9743647897294498,0.03517410293945331
24,3,travel_time_delay,97002,0.9648258970604354,0.9743647897294498,0.03517410293945331
24,6,congestion_index,96543,0.9646901726000147,0.9751388845729734,0.035309827399875586
24,6,speed,96543,0.9646901726000147,0.9751388845729734,0.035309827399875586
24,6,travel_time,96543,0.9646901726000147,0.9751388845729734,0.035309827399875586
24,6,travel_time_delay,96543,0.9646901726000147,0.9751388845729734,0.035309827399875586
24,12,congestion_index,95625,0.9644274509802844,0.9763381263617297,0.035572549019602974
24,12,speed,95625,0.9644274509802844,0.9763381263617297,0.035572549019602974
24,12,travel_time,95625,0.9644274509802844,0.9763381263617297,0.035572549019602974
24,12,travel_time_delay,95625,0.9644274509802844,0.9763381263617297,0.035572549019602974
24,24,congestion_index,93789,0.963904349124012,0.9778025674651588,0.036095650875897375
24,24,speed,93789,0.963904349124012,0.9778025674651588,0.036095650875897375
24,24,travel_time,93789,0.963904349124012,0.9778025674651588,0.036095650875897375
24,24,travel_time_delay,93789,0.963904349124012,0.9778025674651588,0.036095650875897375
72,1,congestion_index,89964,0.9734311934644698,0.9809257036147793,0.026568806534964233
72,1,speed,89964,0.9734311934644698,0.9809257036147793,0.026568806534964233
72,1,travel_time,89964,0.9734311934644698,0.9809257036147793,0.026568806534964233
72,1,travel_time_delay,89964,0.9734311934644698,0.9809257036147793,0.026568806534964233
72,3,congestion_index,89658,0.9733701026859358,0.9812695650880955,0.026629897313499573
72,3,speed,89658,0.9733701026859358,0.9812695650880955,0.026629897313499573
72,3,travel_time,89658,0.9733701026859358,0.9812695650880955,0.026629897313499573
72,3,travel_time_delay,89658,0.9733701026859358,0.9812695650880955,0.026629897313499573
72,6,congestion_index,89199,0.9732782255899085,0.9813189236052372,0.02672177440953328
72,6,speed,89199,0.9732782255899085,0.9813189236052372,0.02672177440953328
72,6,travel_time,89199,0.9732782255899085,0.9813189236052372,0.02672177440953328
72,6,travel_time_delay,89199,0.9732782255899085,0.9813189236052372,0.02672177440953328
72,12,congestion_index,88281,0.9730956956883415,0.9812728673214449,0.026904304311112494
72,12,speed,88281,0.9730956956883415,0.9812728673214449,0.026904304311112494
72,12,travel_time,88281,0.9730956956883415,0.9812728673214449,0.026904304311112494
72,12,travel_time_delay,88281,0.9730956956883415,0.9812728673214449,0.026904304311112494
72,24,congestion_index,86445,0.9728761383276209,0.9810794917769896,0.02712386167184563
72,24,speed,86445,0.9728761383276209,0.9810794917769896,0.02712386167184563
72,24,travel_time,86445,0.9728761383276209,0.9810794917769896,0.02712386167184563
72,24,travel_time_delay,86445,0.9728761383276209,0.9810794917769896,0.02712386167184563
168,1,congestion_index,75276,0.9782939259711448,0.9815744726074712,0.02170607402853209
168,1,speed,75276,0.9782939259711448,0.9815744726074712,0.02170607402853209
168,1,travel_time,75276,0.9782939259711448,0.9815744726074712,0.02170607402853209
168,1,travel_time_delay,75276,0.9782939259711448,0.9815744726074712,0.02170607402853209
168,3,congestion_index,74970,0.9783520551074267,0.9819972433417733,0.021647944892247285
168,3,speed,74970,0.9783520551074267,0.9819972433417733,0.021647944892247285
168,3,travel_time,74970,0.9783520551074267,0.9819972433417733,0.021647944892247285
168,3,travel_time_delay,74970,0.9783520551074267,0.9819972433417733,0.021647944892247285
168,6,congestion_index,74511,0.9784413423134506,0.9820541038683475,0.021558657686213935
168,6,speed,74511,0.9784413423134506,0.9820541038683475,0.021558657686213935
168,6,travel_time,74511,0.9784413423134506,0.9820541038683475,0.021558657686213935
168,6,travel_time_delay,74511,0.9784413423134506,0.9820541038683475,0.021558657686213935
168,12,congestion_index,73593,0.9786260889198596,0.9819842466901014,0.021373911079798306
168,12,speed,73593,0.9786260889198596,0.9819842466901014,0.021373911079798306
168,12,travel_time,73593,0.9786260889198596,0.9819842466901014,0.021373911079798306
168,12,travel_time_delay,73593,0.9786260889198596,0.9819842466901014,0.021373911079798306
168,24,congestion_index,71757,0.979010426724245,0.9829964324038594,0.020989573275418245
168,24,speed,71757,0.979010426724245,0.9829964324038594,0.020989573275418245
168,24,travel_time,71757,0.979010426724245,0.9829964324038594,0.020989573275418245
168,24,travel_time_delay,71757,0.979010426724245,0.9829964324038594,0.020989573275418245
168,168,congestion_index,53601,0.9864201627364929,0.985838705922848,0.013579837263168826
168,168,speed,53601,0.9864201627364929,0.985838705922848,0.013579837263168826
168,168,travel_time,53601,0.9864201627364929,0.985838705922848,0.013579837263168826
168,168,travel_time_delay,53601,0.9864201627364929,0.985838705922848,0.013579837263168826
