model,input_feature_group,history_hours,split,n,MAE,RMSE,sMAPE
TCN,speed_only,24,test,3,0.9429989654534395,2.0204296781030893,0.013090457632709366
TCN,speed_only,24,val,23,1.010582385255487,1.9761107493165284,0.013747304178722459
TCN,speed_only,72,test,3,0.9276232851274558,1.976045811367818,0.012602510555531396
TCN,speed_only,72,val,22,1.051098099576068,2.179967271572788,0.014566432244808504
TCN,speed_only,168,test,3,0.9240849008713955,1.8738464331596703,0.012701391302488799
TCN,speed_only,168,val,27,1.3253284438478634,2.5811911499218847,0.0178727719041913
