model,history_hours,horizon_hours,epoch,split,train_loss,MAE,RMSE,sMAPE,best_val_MAE,best_epoch,elapsed_seconds
TCN,24,1,1,val,0.05559666782764153,1.3519937383787581,2.876219191230558,0.018730288513185495,1.3519937383787581,1,75.7509014999996
TCN,24,1,2,val,0.029597283473908744,1.5470629516131331,2.813744800900711,0.020125942445418838,1.3519937383787581,1,151.0545263999993
TCN,24,1,3,val,0.02737368290655479,2.0198438216228873,3.0059700489081007,0.02471369214435615,1.3519937383787581,1,229.30984689999968
TCN,24,1,4,val,0.026086547703103095,1.2648892342853757,2.6693557729105852,0.016691917432343294,1.2648892342853757,4,306.7664939999995
TCN,24,1,5,val,0.025194243060993774,1.1608937400040613,2.6220476261975927,0.01564280794009972,1.1608937400040613,5,383.4472762000005
TCN,24,1,6,val,0.024659296326865716,1.2201337430547685,2.660699048474066,0.016251549827810654,1.1608937400040613,5,459.3040829999991
TCN,24,1,7,val,0.024025147031892527,1.1336352862097105,2.6326461592985293,0.015656102033036908,1.1336352862097105,7,533.3715305000005
TCN,24,1,8,val,0.023735175775894846,1.3046124007074416,2.6285476327839548,0.01703917576864493,1.1336352862097105,7,609.8563493000001
TCN,24,1,9,val,0.023400153717636086,1.2320300998692435,2.626640034469901,0.016402437239853452,1.1336352862097105,7,684.5659252000005
TCN,24,1,10,val,0.023093292075717396,1.2094156643414378,2.6305331283782545,0.01664199896511219,1.1336352862097105,7,758.8568698999989
TCN,24,1,11,val,0.022920654407275295,1.0019726981081813,2.562703929380284,0.0139034804081307,1.0019726981081813,11,833.1824942999992
TCN,24,1,12,val,0.022586021166120816,1.079595786060977,2.6177112513532927,0.0149539066589471,1.0019726981081813,11,907.5587147000006
TCN,24,1,13,val,0.022352133330565876,1.0451787888109758,2.555638169882897,0.014536158778978873,1.0019726981081813,11,981.6178661999984
TCN,24,1,14,val,0.022206528597752136,1.1954728417216378,2.5936458496287518,0.01576774423771268,1.0019726981081813,11,1055.7886825999994
TCN,24,1,15,val,0.02200080679143247,1.0736607786925365,2.528373266486157,0.014648638981812154,1.0019726981081813,11,1129.9918415999964
TCN,24,1,16,val,0.021677092120251117,1.00407086226913,2.541903279346873,0.01390682278417937,1.0019726981081813,11,1204.188148199999
TCN,24,1,11,test,,1.0890810658967693,2.44820870044504,0.014396832162208812,1.0019726981081813,11,1213.6980146999958
LSTM,24,1,1,val,0.0553810513445549,1.3278660458059117,2.764068518602529,0.017879626993920553,1.3278660458059117,1,2.239254300002358
LSTM,24,1,2,val,0.02727190138983473,1.3396353404665178,2.7397252491994366,0.018099036726185427,1.3278660458059117,1,4.610521800001152
LSTM,24,1,3,val,0.026130017807001266,1.441955964102744,2.7474927910184785,0.01873382356229348,1.3278660458059117,1,7.08833869999944
LSTM,24,1,4,val,0.025358500987237628,1.1818310078143408,2.6236399004254416,0.016166033482295766,1.1818310078143408,4,9.663220300004468
LSTM,24,1,5,val,0.024857663235377376,1.219936019425978,2.586861571768941,0.016114777547805124,1.1818310078143408,4,12.187435300002107
LSTM,24,1,6,val,0.02429871522218158,1.1462624003267534,2.5910897258040353,0.015447105323203451,1.1462624003267534,6,14.893483600004402
LSTM,24,1,7,val,0.02379118938955999,1.2486706009830337,2.582864714368146,0.01684025876732763,1.1462624003267534,6,17.43770450000011
LSTM,24,1,8,val,0.0235057271631661,1.1749058093372773,2.5477528787235144,0.015568424761664895,1.1462624003267534,6,19.94959540000127
LSTM,24,1,9,val,0.02321321006816474,1.2043932985159307,2.5847432058713466,0.015962912322874067,1.1462624003267534,6,22.43670320000092
LSTM,24,1,10,val,0.022854479995589115,1.011423694531494,2.5157361192127694,0.013812223885369986,1.011423694531494,10,25.02437600000121
LSTM,24,1,11,val,0.022688461264686724,1.1065097421458994,2.566800279524276,0.01515850232586138,1.011423694531494,10,27.548171500005992
LSTM,24,1,12,val,0.022410818458974458,1.1764474941779235,2.5672403658311147,0.015532120580614307,1.011423694531494,10,30.109133500001917
LSTM,24,1,13,val,0.022251931813629378,1.156898303438763,2.589580369215102,0.015525466805267653,1.011423694531494,10,32.64829680000548
LSTM,24,1,14,val,0.022046333826712443,1.0136746119772857,2.5072874242344216,0.013969678872732025,1.011423694531494,10,35.182526000004145
LSTM,24,1,15,val,0.02190383081003747,1.250738529580195,2.628161114685334,0.016754950669215722,1.011423694531494,10,37.69393069999933
LSTM,24,1,10,test,,1.0913456462326703,2.42554390449956,0.014328550691794898,1.011423694531494,10,37.870475499999884
TCN,24,3,1,val,0.04030334551978832,1.1754622283901348,2.1395110766215395,0.016048666357410448,1.1754622283901348,1,72.96238819999417
TCN,24,3,2,val,0.018994780194693493,1.1189030424581192,2.088785126446852,0.015396313977795437,1.1189030424581192,2,146.4960504999981
TCN,24,3,3,val,0.0165254487489223,1.160994367038019,2.0332975245951763,0.01549301888631797,1.1189030424581192,2,219.16734139999608
TCN,24,3,4,val,0.015319568476418053,1.2526868279766763,2.107173461846913,0.01673283730999992,1.1189030424581192,2,292.0534842999987
TCN,24,3,5,val,0.014515018575689044,1.0445075629035128,2.00873117472738,0.014112797516656912,1.0445075629035128,5,364.691651000001
TCN,24,3,6,val,0.0141276190990804,1.0002753635324617,1.9441121436437032,0.013570631094376544,1.0002753635324617,6,437.3529933999962
TCN,24,3,7,val,0.013830685809618878,1.0518577440207748,1.9434593122729846,0.013972357045221293,1.0002753635324617,6,510.0680782999989
TCN,24,3,8,val,0.013289985709814309,0.983946312995689,1.9700116416403564,0.013636908364842174,0.983946312995689,8,582.6730911999985
TCN,24,3,9,val,0.012960154523395693,0.9929418301604943,1.9370722346704519,0.0135793817923223,0.983946312995689,8,655.3494748000012
TCN,24,3,10,val,0.012813980327838188,1.0821910010114968,2.036506286815643,0.014658788138729928,0.983946312995689,8,727.9600136999943
TCN,24,3,11,val,0.012411726806939019,0.9978500943627402,1.87773075646708,0.013255756917045959,0.983946312995689,8,800.4632281999948
TCN,24,3,12,val,0.012461543772607978,1.0225188991302314,1.9316688256000918,0.01379585099227036,0.983946312995689,8,873.3267943999963
TCN,24,3,13,val,0.01215584737235651,1.0759239246101073,1.9788112761088803,0.014454521828721941,0.983946312995689,8,945.8853412999961
TCN,24,3,8,test,,1.0168855987949632,1.806635004690398,0.01366756899804812,0.983946312995689,8,955.3411944999971
LSTM,24,3,1,val,0.04664084176942167,1.2318065611414535,2.0882829817167083,0.016513210818675884,1.2318065611414535,1,2.1859152000033646
LSTM,24,3,2,val,0.015880763814499724,1.2628023351290012,2.0933302483175074,0.016803027852480237,1.2318065611414535,1,4.515251199998602
LSTM,24,3,3,val,0.014645207806490807,1.1537949291038858,2.0361840132266846,0.015708270545294552,1.1537949291038858,3,6.951962500002992
LSTM,24,3,4,val,0.013692232933292027,1.0808339365165138,1.9375589586887023,0.014279714498399394,1.0808339365165138,4,9.424488500000734
LSTM,24,3,5,val,0.013040015561145285,1.1699054360584948,1.9189995472936958,0.015107244881604224,1.0808339365165138,4,11.90233520000038
LSTM,24,3,6,val,0.012624165440142733,1.0102400219488756,1.9219453970948885,0.013262213051042202,1.0102400219488756,6,14.349520100004156
LSTM,24,3,7,val,0.012141553233877275,0.9654607175187955,1.8890935161860058,0.012925758484585721,0.9654607175187955,7,16.844644500000868
LSTM,24,3,8,val,0.0118606789941694,1.0489416613207636,1.8968319022444085,0.013950202153968883,0.9654607175187955,7,19.34443309999915
LSTM,24,3,9,val,0.01151729533657124,1.1230598826540328,2.0217958401400775,0.014789309666070819,0.9654607175187955,7,21.80848710000282
LSTM,24,3,10,val,0.01134781559205404,1.0454650200211728,1.9000772049073889,0.01374872714411718,0.9654607175187955,7,24.299199100001715
LSTM,24,3,11,val,0.011135260691152393,1.006390554084314,1.9164524455611223,0.013185288318820243,0.9654607175187955,7,26.84786570000142
LSTM,24,3,12,val,0.010908350637919652,1.0345789877548988,1.953630530934915,0.013904643071144161,0.9654607175187955,7,29.34390279999934
LSTM,24,3,7,test,,1.0176827446301189,1.814134420077871,0.013419283952014903,0.9654607175187955,7,29.518937200002256
TCN,24,6,1,val,0.03861271529109605,1.328526343321189,2.0706446411745767,0.017871276710414066,1.328526343321189,1,74.99128970000311
TCN,24,6,2,val,0.01578581693898876,1.2838926481589292,1.9779415145029968,0.017668383372541455,1.2838926481589292,2,149.5031237000003
TCN,24,6,3,val,0.013008611644841152,1.1297426230275733,1.8332357782329853,0.015012067008130318,1.1297426230275733,3,224.3741358000043
TCN,24,6,4,val,0.012026683747773763,1.0830245955377562,1.793393726665926,0.014396402770457867,1.0830245955377562,4,299.20069250000233
TCN,24,6,5,val,0.011210729574288947,1.0722783018584945,1.7185116598522632,0.014166632249133665,1.0722783018584945,5,373.83213400000386
TCN,24,6,6,val,0.01066856694178232,1.1771557248759474,1.8006468426825806,0.01539294150513487,1.0722783018584945,5,448.3599383000037
TCN,24,6,7,val,0.01029793338710653,1.0900293082864876,1.74850821737926,0.014506302527006902,1.0722783018584945,5,523.1388894000047
TCN,24,6,8,val,0.009907927168825527,1.2397067237919213,1.7684001125579418,0.015694546194157638,1.0722783018584945,5,597.8469589000015
TCN,24,6,9,val,0.009595283284352505,1.1021172479482797,1.7471703059641204,0.014648706998975322,1.0722783018584945,5,672.2900150999994
TCN,24,6,10,val,0.009430265774578549,0.9762646735427726,1.7104594187405475,0.013152900483536829,0.9762646735427726,10,746.9016237000033
TCN,24,6,11,val,0.00914113898271577,0.9088245219043177,1.6982806022231811,0.012434101840067054,0.9088245219043177,11,821.5093037999977
TCN,24,6,12,val,0.009106501548184407,0.9733921109713041,1.6770909333253516,0.013082493968092718,0.9088245219043177,11,896.3336080000008
TCN,24,6,13,val,0.008900510298148668,0.9067896189241328,1.6449485794409988,0.012295598527779792,0.9067896189241328,13,971.1391094999999
TCN,24,6,14,val,0.00866980342813477,1.0353217971019255,1.6689032509595483,0.013687356349704895,0.9067896189241328,13,1045.8552552000037
TCN,24,6,15,val,0.008514676674177256,1.091810662359254,1.705084022665187,0.014380079800183609,0.9067896189241328,13,1120.4843939999992
TCN,24,6,16,val,0.008416968273329445,0.8830314424302843,1.6351137479176738,0.012135756427151803,0.8830314424302843,16,1195.2079079000032
TCN,24,6,17,val,0.008303841857105199,1.0014535587669438,1.6725279343875508,0.013217379874835428,0.8830314424302843,16,1269.8535935000036
TCN,24,6,18,val,0.00807436168614346,0.9807890261136568,1.6807302848767678,0.013149115625358358,0.8830314424302843,16,1344.6689055000024
TCN,24,6,19,val,0.007986661763487928,0.9191880759214743,1.6728315967491885,0.01253800806596612,0.8830314424302843,16,1419.083698800001
TCN,24,6,20,val,0.007908488537330106,0.9593414675068651,1.7084366362551486,0.013055229874402817,0.8830314424302843,16,1493.9815215999988
TCN,24,6,16,test,,0.8922117933442321,1.4801173718240044,0.01180756937924937,0.8830314424302843,16,1503.6796637000007
LSTM,24,6,1,val,0.03509346629216337,1.212454369047768,1.9369039572475517,0.016213306713400023,1.212454369047768,1,2.244204200003878
LSTM,24,6,2,val,0.01077797694464425,1.018079136253422,1.6505831907330075,0.013240407252107884,1.018079136253422,2,4.612951000002795
LSTM,24,6,3,val,0.010012474720806512,1.0396931102133204,1.6600460202096206,0.013863580822581637,1.018079136253422,2,7.087261699998635
LSTM,24,6,4,val,0.009573620924439726,1.047057655530098,1.6726067886911844,0.013832632779995756,1.018079136253422,2,9.67128059999959
LSTM,24,6,5,val,0.009159652828710889,0.9710996376754891,1.6508562362509265,0.012943814520317714,0.9710996376754891,5,12.21328490000451
LSTM,24,6,6,val,0.00881151541997784,0.9651698048909505,1.6716966531631021,0.012723839652121666,0.9651698048909505,6,14.814745499999844
LSTM,24,6,7,val,0.008395576152672331,0.8838464267437275,1.6252513335613774,0.011579848076952828,0.8838464267437275,7,17.321673200000077
LSTM,24,6,8,val,0.00805679783654746,0.8941513873369266,1.5977165294042135,0.0119277343374352,0.8838464267437275,7,19.93358299999818
LSTM,24,6,9,val,0.007667169609292269,0.9496606008415548,1.6671481194136808,0.012604951362505242,0.8838464267437275,7,22.518463300002622
LSTM,24,6,10,val,0.007442535093066962,1.0144139278444468,1.7152371413539982,0.013287272361729576,0.8838464267437275,7,25.04903429999831
LSTM,24,6,11,val,0.0070857548744809136,0.9723508613129966,1.691885123171788,0.012913832992819368,0.8838464267437275,7,27.666387199999008
LSTM,24,6,12,val,0.0069029362419159536,0.9444006885626377,1.7485832269893316,0.01253805304359985,0.8838464267437275,7,30.276104500000656
LSTM,24,6,7,test,,0.9357991028082875,1.5712444236434921,0.0120838080678771,0.8838464267437275,7,30.455324100003054
TCN,24,12,1,val,0.03437654481566668,1.119664097838334,1.7950854184957588,0.01588590360823706,1.119664097838334,1,74.49890359999699
TCN,24,12,2,val,0.01220750924346946,0.9535685570815036,1.4871086154481008,0.012779920373679796,0.9535685570815036,2,149.08465559999604
TCN,24,12,3,val,0.00987894917303127,0.9768294288965519,1.4401319967298356,0.013060847426634353,0.9535685570815036,2,223.15834849999374
TCN,24,12,4,val,0.008679335203201582,1.133400429288185,1.6093934561196566,0.015581680440185822,0.9535685570815036,2,297.5388307999965
TCN,24,12,5,val,0.008005146620939051,0.8940199417996815,1.4410872329103452,0.012113020118689713,0.8940199417996815,5,372.00419029999466
TCN,24,12,6,val,0.007333356152253597,0.8602454763796166,1.3640891433320586,0.011648600493909988,0.8602454763796166,6,446.1814691999971
TCN,24,12,7,val,0.0071167005657480666,0.8672903823436239,1.4054943449761366,0.0119331682099359,0.8602454763796166,6,520.3225782999943
TCN,24,12,8,val,0.006847306965111136,0.8564605771866483,1.3621488282623677,0.011585864412880533,0.8564605771866483,8,594.6899303999962
TCN,24,12,9,val,0.006517783329559963,1.087184155277878,1.481048714387158,0.014045716135291996,0.8564605771866483,8,668.8323036000002
TCN,24,12,10,val,0.006383742665377255,0.9248214276238501,1.3885812293742565,0.012416595511351611,0.8564605771866483,8,742.8128886999984
TCN,24,12,11,val,0.006007061030138179,0.8300222103358963,1.3774408943840435,0.011378371746534466,0.8300222103358963,11,816.9799274999968
TCN,24,12,12,val,0.005945473220975112,0.920336748652564,1.3588822020498557,0.012102281269015306,0.8300222103358963,11,891.3171736000004
TCN,24,12,13,val,0.005746690183985245,0.9125377357374672,1.3644037202353725,0.012179720159224923,0.8300222103358963,11,965.4643732999975
TCN,24,12,14,val,0.005682066756074058,0.8548761033370045,1.350913490244126,0.011550504703664088,0.8300222103358963,11,1039.6947912999967
TCN,24,12,15,val,0.005431586502382798,1.0024930795091593,1.4146075980662507,0.013076098947441127,0.8300222103358963,11,1113.8163835999949
TCN,24,12,16,val,0.005276238457552481,0.8865892716258948,1.3542792699025943,0.011898290170372276,0.8300222103358963,11,1188.277945599999
TCN,24,12,11,test,,0.8465117114704599,1.399962780977403,0.01128595293337636,0.8300222103358963,11,1197.682113799994
LSTM,24,12,1,val,0.03442898004310373,1.159335145780328,1.6143171805074379,0.0150764723803452,1.159335145780328,1,2.256998400000157
LSTM,24,12,2,val,0.007059950842768248,0.9859840480489442,1.4860948634866167,0.013673084664864287,0.9859840480489442,2,4.619269099996018
LSTM,24,12,3,val,0.006522629061174416,0.9632880810001799,1.4067462295768811,0.012589717829417542,0.9632880810001799,3,7.114427499996964
LSTM,24,12,4,val,0.006286897271716163,0.943294714216147,1.3500166224437842,0.012274173022322149,0.943294714216147,4,9.725381199998083
LSTM,24,12,5,val,0.006150446185118954,1.0459883781119492,1.5759756938211265,0.014181677949403249,0.943294714216147,4,12.284772799997882
LSTM,24,12,6,val,0.005644508420846313,0.8818305002728043,1.3546028368540106,0.011838275792130426,0.8818305002728043,6,14.805214699998032
LSTM,24,12,7,val,0.005390486115154936,0.8820406635183125,1.3304771360939538,0.011575334837439223,0.8818305002728043,6,17.335762399998202
LSTM,24,12,8,val,0.005029475734903337,1.0566792344127667,1.4663099377788635,0.01372497321892425,0.8818305002728043,6,19.841962799997418
LSTM,24,12,9,val,0.004953593991822473,0.8669332235065015,1.4083044536231348,0.011710451525931424,0.8669332235065015,9,22.491493100002117
LSTM,24,12,10,val,0.004385279166804368,0.8855056381086819,1.400012524871208,0.0116782516044312,0.8669332235065015,9,25.023839800000133
LSTM,24,12,11,val,0.004283352759220261,0.8568480256775501,1.4022688154835403,0.011361088430423027,0.8568480256775501,11,27.585579699996742
LSTM,24,12,12,val,0.004269048642387219,0.9098548670602564,1.4398613238011078,0.011892686324593407,0.8568480256775501,11,30.11707000000024
LSTM,24,12,13,val,0.0038437985887758313,0.9355294236966851,1.3944921549396194,0.012086047198261014,0.8568480256775501,11,32.688473199996224
LSTM,24,12,14,val,0.003744884230147466,0.8628479238422015,1.4430442532962187,0.011469593684933176,0.8568480256775501,11,35.24856010000076
LSTM,24,12,15,val,0.0035737205692653678,0.8912428865956583,1.4170871159943181,0.011708436123636036,0.8568480256775501,11,37.76636889999645
LSTM,24,12,16,val,0.0034308061339102147,1.0194637382537852,1.484889892791305,0.013011799887980374,0.8568480256775501,11,40.337532500001544
LSTM,24,12,11,test,,0.8834826943249475,1.4740441413904106,0.011733636089067226,0.8568480256775501,11,40.5134962000011
TCN,24,24,1,val,0.029377459371133962,0.8745082186450774,1.3048375237364207,0.011475399157537071,0.8745082186450774,1,73.6885745000036
TCN,24,24,2,val,0.008569137095244877,1.0493223248277441,1.3732184617937135,0.013078522728021442,0.8745082186450774,1,148.0641190000024
TCN,24,24,3,val,0.006628329223002211,1.0628729983556704,1.371690969188308,0.01342454508562538,0.8745082186450774,1,220.32979820000037
TCN,24,24,4,val,0.005548999569400413,0.894973337782852,1.212021059087492,0.011533509005125037,0.8745082186450774,1,292.5917411000046
TCN,24,24,5,val,0.005060881152434596,0.9252409938532304,1.1992120877363053,0.011655901550565752,0.8745082186450774,1,366.64126950000355
TCN,24,24,6,val,0.0047855925518555525,0.9450560793159095,1.2981744132813509,0.012392217265757743,0.8745082186450774,1,439.27930780000315
TCN,24,24,1,test,,0.8133512281904862,1.220468814468373,0.010953408652024722,0.8745082186450774,1,448.1740710000013
LSTM,24,24,1,val,0.02742831876395028,0.7376248597922017,1.137604736168788,0.009579434689641984,0.7376248597922017,1,2.2202595000053407
LSTM,24,24,2,val,0.0040161985522408445,0.8447481986767632,1.205178355130949,0.01056214936268109,0.7376248597922017,1,4.582281500006502
LSTM,24,24,3,val,0.004118466275225554,0.6815776789603718,1.0060326826624881,0.008523722388684858,0.6815776789603718,3,7.026779100000567
LSTM,24,24,4,val,0.0036805190595767027,0.7859465826697665,1.0713002818337596,0.009701135490687655,0.6815776789603718,3,9.499490700000024
LSTM,24,24,5,val,0.0035573363752953117,0.841697901421074,1.16002580731295,0.010478463663068463,0.6815776789603718,3,11.971413800005394
LSTM,24,24,6,val,0.0036608479859350646,0.9556290108332199,1.808451822187045,0.01274932263888893,0.6815776789603718,3,14.452886800005217
LSTM,24,24,7,val,0.0035028407810368755,0.9173036158924371,1.1749365240933554,0.011275158089054736,0.6815776789603718,3,16.930394800001523
LSTM,24,24,8,val,0.0031761654414559997,0.8881374950140295,1.172077936389427,0.011035113376561859,0.6815776789603718,3,19.379396000003908
LSTM,24,24,3,test,,0.7131580288253296,1.1205194245266306,0.00940835736867293,0.6815776789603718,3,19.54279000000679
