horizon_hours,point_id,n,MAE,RMSE,sMAPE
1,N001,200,0.4247621154785156,1.339603961143565,0.004843261689384931
1,N002,204,0.23523248410692402,1.073910212586316,0.0025699977703227306
1,N003,203,0.43419128568301646,1.0629968091259552,0.004900960501073578
1,N004,203,0.4801683097050108,1.3045485590340793,0.005450948804120429
1,N005,200,0.36446596145629884,0.7925725622312707,0.008647250226652567
1,N006,199,0.30100694972666064,0.6992016166116031,0.003377265892341164
1,N007,203,0.41760272697862144,1.0945028908645966,0.0047209387580170094
1,N008,205,0.3938724052615282,1.0400299994857507,0.004449215328929591
1,N009,204,0.3879865010579427,0.943522078106918,0.00437113101148596
1,N010,204,0.27759675418629365,1.2679067702579214,0.003049390928998713
1,N011,206,0.22564234316927714,1.0325946302624982,0.0024630418621734837
1,N012,198,0.2371663950910472,1.2082519614491953,0.0026112156126105453
1,N013,205,0.3378676251667302,1.7002306346027771,0.0037719341971603113
1,N014,204,0.2968328887341069,1.597283063160478,0.003314363732544896
1,N015,196,0.23248096388213488,1.0529788147151236,0.002538368542714022
1,N016,205,1.557356038907679,3.538813027151246,0.016492374315998985
1,N017,199,1.6733817479119228,4.204723154596691,0.017992898439439853
1,N018,203,0.6112445774923991,2.325500935833442,0.006543031441904916
1,N019,205,0.531046909239234,1.930125804874791,0.005645882232299902
1,N020,204,1.0780560736562692,3.695597818191513,0.011613886054955953
1,N021,205,1.0125471905964176,3.6449199106508923,0.010929020373543053
1,N022,202,0.5451087196274559,2.0396947324695236,0.0058104678640923035
1,N023,205,0.9966899592701982,3.019398457186798,0.01052119508781916
1,N024,204,0.9681790295769187,2.89831140871751,0.01017199186409134
1,N025,200,0.5461747741699219,2.1472058663662,0.0058686859011576565
1,N026,204,0.9505687414431104,3.3606975342241427,0.010176293129078067
1,N027,201,1.013332347964766,3.5006680491877833,0.010896578433629756
1,N028,203,0.8715881948987839,3.357790377100545,0.009399117753940013
1,N029,198,0.6511943701541785,2.601180506106195,0.007045173768342653
1,N030,205,0.5378889502548589,2.0092196889254756,0.005716596005172141
1,N031,201,0.5974210293138799,2.2670331714080283,0.006258755131545265
1,N032,202,0.6218653008489325,2.3259459171970946,0.00654085370360388
1,N033,204,0.5744898926978018,2.2308065932448042,0.006019275015915354
1,N034,198,0.8067158785733309,3.042177013686405,0.00860782012741391
1,N035,202,0.6089868073416228,2.342906845494811,0.0064001846358878595
1,N036,204,0.4490973528693704,2.0064052292830596,0.004720511723085586
1,N037,205,0.7311685701695884,2.9872836120194872,0.007898181359098142
1,N038,203,0.6156142662311422,2.580138933756388,0.00653571761691165
1,N039,201,0.562395314079019,2.1429733621917477,0.005879960862354745
1,N040,206,0.5631945341536142,2.279703868444045,0.00592533098576831
1,N041,205,1.9923560165777439,3.704260824359952,0.02391629605277534
1,N042,200,1.8884132385253907,2.579086230341467,0.02762602038011735
