model,ablation_group,history_hours,horizon_hours,epoch,split,train_loss,MAE,RMSE,sMAPE,best_val_MAE,best_epoch,elapsed_seconds,SeasonalHistoricalAverage_MAE,SeasonalHistoricalAverage_RMSE,SeasonalHistoricalAverage_sMAPE,delta_MAE_vs_seasonal,improvement_percent_vs_seasonal
TCN,speed_only,24,1,3,test,,0.9832630992567496,2.522738497384306,0.013489322143766106,0.8757360152128963,3,549.749887900005,1.178897282310066,2.733031629503305,0.0162567476422331,0.19563418305331648,16.59467588812899
TCN,speed_time,24,1,3,test,,1.1170713101996241,2.4437814984989337,0.014899288356772353,1.0196775566621956,3,583.0817205000058,1.178897282310066,2.733031629503305,0.0162567476422331,0.06182597211044194,5.244390078607448
TCN,speed_reliability,24,1,13,test,,1.0193711328642543,2.4509784049959658,0.013672449458550515,0.9027635783662992,13,1498.902655900005,1.178897282310066,2.733031629503305,0.0162567476422331,0.15952614944581178,13.531810772624567
TCN,speed_volatility,24,1,4,test,,0.9736319463009062,2.485597563744089,0.013465178528559241,0.8710669151789516,4,779.9158702999994,1.178897282310066,2.733031629503305,0.0162567476422331,0.20526533600915986,17.411638748283437
TCN,full_features,24,1,6,test,,1.1337988849178022,2.447204438823493,0.014871854178599505,1.039376550165906,6,971.6788820000074,1.178897282310066,2.733031629503305,0.0162567476422331,0.045098397392263845,3.825473013551519
TCN,speed_only,24,3,7,test,,0.8726501516228795,1.8923725486152283,0.012357498823209504,0.7873563658789349,7,1033.420358599993,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.18143169688596927,17.212296857462317
TCN,speed_time,24,3,10,test,,0.9792680796558838,1.8228380339604178,0.013405071555535051,0.8800807328442439,10,1329.0902502999961,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.07481376885296498,7.097529376755693
TCN,speed_reliability,24,3,12,test,,0.9557108457571409,1.846281502078249,0.012883846874736909,0.900904391821207,12,1352.60395840001,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.09837100275170785,9.332387507750736
TCN,speed_volatility,24,3,9,test,,0.9650070744745859,1.8194710856754828,0.013015069853460855,0.8595371126316814,9,936.000999099997,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.0890747740342629,8.450460859398351
TCN,full_features,24,3,12,test,,1.0175650825121523,1.7982787581716948,0.0135388547355644,0.9497086819508253,12,1070.3136096999951,1.0540818485088488,2.0065083242358743,0.0142471720276558,0.03651676599669651,3.4643197820316094
TCN,speed_only,24,6,11,test,,0.8293011010173276,1.438978310195123,0.011127826663243615,0.7492300287882487,11,1108.2298727000016,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.12265467319837486,12.884492801089172
TCN,speed_time,24,6,13,test,,0.9041421439681774,1.4869522283977845,0.011990195254006204,0.8465870842566857,13,1113.1804607999948,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.04781363024752505,5.022673483641375
TCN,speed_reliability,24,6,3,test,,1.0787106337916512,1.8900558294654415,0.014595737375225041,1.067660877847264,3,522.6167914999969,0.9519557742157024,1.6018649170103407,0.0127049756404673,-0.1267548595759488,-13.315204656474679
TCN,speed_volatility,24,6,2,test,,0.9438298987495689,1.5828280244317874,0.0129382047985782,0.9029088660998222,2,449.5621314000018,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.008125875466133525,0.853598001737872
TCN,full_features,24,6,11,test,,0.9086783526858158,1.4987160100532975,0.0120733035012432,0.8952768391014164,11,1111.4153951000044,0.9519557742157024,1.6018649170103407,0.0127049756404673,0.04327742152988667,4.546158834483891
