horizon_hours,volatility_bin,n,MAE,RMSE,sMAPE
1,q1_low,1970,0.5423794238095356,2.0696608876179656,0.005956461252119504
1,q2_mid_low,3124,0.4216173430868972,1.721595625381342,0.0048446135430687265
1,q3_mid_high,2845,0.9762140659540106,3.1695874753945104,0.01066633194817702
1,q4_high,2388,1.8069153463021794,2.7162353969810216,0.031097490726429977
3,q1_low,868,0.4798772258143271,0.928838341448424,0.005139694984670888
3,q2_mid_low,2477,0.4948903770277372,1.2429161096522428,0.005612038216250624
3,q3_mid_high,1608,0.93889363132306,1.8477244007018465,0.009790084726738587
3,q4_high,1359,1.9744524699611818,2.688632632651081,0.03357013214570513
6,q1_low,4364,0.3339088266863941,0.8322343002316538,0.003962091357371984
6,q2_mid_low,1600,0.7023101282119751,1.384474883721183,0.008837926926903035
6,q3_mid_high,2748,0.7677419681909997,1.5215474685244395,0.008417138193976258
6,q4_high,3454,1.5062378395756477,2.168535906594198,0.02454702086097824
