model,input_feature_group,history_hours,horizon_hours,epoch,split,train_loss,MAE,RMSE,sMAPE,best_val_MAE,best_epoch,elapsed_seconds
TCN,speed_only,24,1,1,val,0.0375236590934673,0.984127378592715,2.6764566996073684,0.01386372138188076,0.984127378592715,1,97.28708680000273
TCN,speed_only,24,1,2,val,0.029133719526997216,1.1334001947432186,2.67551630579388,0.015668189673924783,0.984127378592715,1,194.36749340000097
TCN,speed_only,24,1,3,val,0.028115776871184384,0.8757360152128963,2.6094061133366524,0.012615416058262557,0.8757360152128963,3,291.1521294999984
TCN,speed_only,24,1,4,val,0.027896805970645696,0.8797424100049352,2.65380678318077,0.013264569728310544,0.8757360152128963,3,388.2254327999981
TCN,speed_only,24,1,5,val,0.027232247052044672,1.1561906894458414,2.574717985267547,0.01561677477676968,0.8757360152128963,3,484.783231399997
TCN,speed_only,24,1,6,val,0.026831361651602423,1.1299793530112359,2.528514809339475,0.015020466611702038,0.8757360152128963,3,581.8424599999998
TCN,speed_only,24,1,7,val,0.026510549243518592,1.1090467406261086,2.5655883303620093,0.015065173230714683,0.8757360152128963,3,682.9934230999934
TCN,speed_only,24,1,3,test,,0.9832630992567496,2.522738497384306,0.013489322143766106,0.8757360152128963,3,695.7501243000006
TCN,speed_only,24,3,1,val,0.03624227144529791,0.9585152977797997,2.073410608910599,0.013628708857910768,0.9585152977797997,1,95.04496420000214
TCN,speed_only,24,3,2,val,0.020139627393891225,0.9958869727580015,1.968345503543095,0.01389597343297565,0.9585152977797997,1,191.08488030001172
TCN,speed_only,24,3,3,val,0.018550473751266984,1.225053972524257,2.006026986269161,0.016449773610359906,0.9585152977797997,1,288.1171045000083
TCN,speed_only,24,3,4,val,0.017585916119444604,1.3874230869432307,1.9731909585661163,0.017555314942559457,0.9585152977797997,1,385.3579410000093
TCN,speed_only,24,3,5,val,0.01728195315545054,1.0660695596436325,1.9117987522370337,0.014512431226865885,0.9585152977797997,1,481.87354730001243
TCN,speed_only,24,3,1,test,,1.032555193627276,2.0027993461895806,0.014327913605777252,0.9585152977797997,1,493.9537636000023
TCN,speed_only,24,6,1,val,0.030281245397215044,0.9763465959597857,1.7992101977239003,0.014134341373629906,0.9763465959597857,1,99.04132560000289
TCN,speed_only,24,6,2,val,0.015842729848495024,1.0890347733456864,1.6220099941844346,0.014073286836833461,0.9763465959597857,1,198.7194812000089
TCN,speed_only,24,6,3,val,0.014485326390930949,0.8040777199900049,1.5621542747022388,0.010986180256626706,0.8040777199900049,3,297.6918882000027
TCN,speed_only,24,6,4,val,0.013561867946818,1.1216655685555221,1.5818787424545881,0.014480674261920574,0.8040777199900049,3,396.76112740000826
TCN,speed_only,24,6,5,val,0.013094854214041822,0.9806600450042986,1.5523899451197984,0.012909927249893469,0.8040777199900049,3,498.2980239000026
TCN,speed_only,24,6,6,val,0.013022328459447185,1.0840042420737763,1.5374255444310059,0.013804009039866857,0.8040777199900049,3,601.7049828000017
TCN,speed_only,24,6,7,val,0.012432908567753205,0.7514632709209735,1.583744424193808,0.010981674248389646,0.7514632709209735,7,704.7127745000034
TCN,speed_only,24,6,8,val,0.01236312401528967,1.0273242634178228,1.542582626957326,0.013735107288232911,0.7514632709209735,7,807.2242284000095
TCN,speed_only,24,6,9,val,0.012072622121980991,0.780448485154372,1.4656006648651811,0.010652033273593675,0.7514632709209735,7,909.0713438999956
TCN,speed_only,24,6,10,val,0.011918886539572045,0.9670953678881001,1.5122685430670726,0.01271646704077753,0.7514632709209735,7,1009.7547885999957
TCN,speed_only,24,6,11,val,0.011759290748191247,0.7601028572799813,1.474502440167092,0.01055778170861508,0.7514632709209735,7,1105.8303811000078
TCN,speed_only,24,6,7,test,,0.8131786034762928,1.5357511907353814,0.011454137148584738,0.7514632709209735,7,1118.072353800002
TCN,speed_only,72,1,1,val,0.045648178131302695,1.197531475122011,3.0120375822549685,0.01772053030477092,1.197531475122011,1,94.81069220000063
TCN,speed_only,72,1,2,val,0.030032524304468188,1.0599168955266487,2.7898016025285854,0.015150291037957401,1.0599168955266487,2,190.29151710000588
TCN,speed_only,72,1,3,val,0.028932985562583675,0.8837076989196515,2.783407186618957,0.01321599288181208,0.8837076989196515,3,285.0208760999958
TCN,speed_only,72,1,4,val,0.028385206024823542,0.8407551223666517,2.711230603999109,0.012509865475982039,0.8407551223666517,4,379.98414080000657
TCN,speed_only,72,1,5,val,0.02769464382890492,1.0074643445598417,2.6677990103596274,0.014169090420777804,0.8407551223666517,4,474.9852181000024
TCN,speed_only,72,1,6,val,0.02731649901497046,1.1442891809843687,2.696711092286762,0.016014120088850264,0.8407551223666517,4,569.7643590999942
TCN,speed_only,72,1,7,val,0.027169227818505982,1.1826792317373873,2.654633031672412,0.01601308946553032,0.8407551223666517,4,664.2591108000051
TCN,speed_only,72,1,8,val,0.026850912256772025,1.1460046905369352,2.6531675018413616,0.015468231720010536,0.8407551223666517,4,759.0457494000002
TCN,speed_only,72,1,4,test,,0.9177750448664841,2.4874600530074025,0.012731221516592468,0.8407551223666517,4,769.441690599997
TCN,speed_only,72,3,1,val,0.038782224740168236,1.0758491804444452,2.144228795357098,0.015041002205407755,1.0758491804444452,1,92.13523139999597
TCN,speed_only,72,3,2,val,0.020786833103728707,0.9737316319386441,2.0698214118925256,0.014130811419753194,0.9737316319386441,2,184.41662469999574
TCN,speed_only,72,3,3,val,0.01885975369699515,0.855083202284287,1.965176352134226,0.012157714341703558,0.855083202284287,3,275.6097746000014
TCN,speed_only,72,3,4,val,0.018216197117821912,1.2700062551171196,2.017318274035269,0.016535059185751662,0.855083202284287,3,363.8735297999956
TCN,speed_only,72,3,5,val,0.017490050802633186,0.9564584254981391,1.981300262657028,0.013466931888583897,0.855083202284287,3,455.7128148000047
TCN,speed_only,72,3,6,val,0.017187210803230525,0.9768739784730127,1.8997888855353682,0.013422367516909051,0.855083202284287,3,547.642755199995
TCN,speed_only,72,3,7,val,0.01664061170052551,1.0738980282366661,1.9064554443314647,0.014333795149999301,0.855083202284287,3,639.6140636000055
TCN,speed_only,72,3,3,test,,0.9295604460620738,1.8950580157266264,0.01269236324225759,0.855083202284287,3,649.7194208000001
TCN,speed_only,72,6,1,val,0.03285276103718451,1.1340481516712346,1.7604872062064247,0.015054734458206617,1.1340481516712346,1,94.379245300006
TCN,speed_only,72,6,2,val,0.016840882344598216,1.1312793258360543,1.8669906440644812,0.015639784372657117,1.1312793258360543,2,189.0760430000082
TCN,speed_only,72,6,3,val,0.015354011658195504,0.9155553672488629,1.646882078610788,0.012553016114486833,0.9155553672488629,3,283.68029640000896
TCN,speed_only,72,6,4,val,0.014601039506154457,1.1222099221518367,1.8243263224157578,0.015777232103716954,0.9155553672488629,3,377.8888417999988
TCN,speed_only,72,6,5,val,0.013862099667407753,1.0472460052890744,1.631979790878193,0.013952544094179408,0.9155553672488629,3,472.5069136999955
TCN,speed_only,72,6,6,val,0.01336377182153377,1.0452331323750712,1.6514809192131206,0.013866938186797795,0.9155553672488629,3,567.0417194000038
TCN,speed_only,72,6,7,val,0.013066699424459233,1.0843369443555504,1.6242559757078054,0.014268366951942578,0.9155553672488629,3,661.6867214000085
TCN,speed_only,72,6,3,test,,0.9355343644538097,1.5456193653694252,0.012383946907744131,0.9155553672488629,3,672.0354979999975
TCN,speed_only,168,1,1,val,0.047315150277677825,1.4184345239117961,3.465596398894141,0.01935138207651019,1.4184345239117961,1,89.42883189998975
TCN,speed_only,168,1,2,val,0.03056863338529302,1.4448400856430128,3.4309291440957943,0.019669888089895435,1.4184345239117961,1,178.63025219998963
TCN,speed_only,168,1,3,val,0.02938983198966735,1.598146907475498,3.3890214193646133,0.02224498494955293,1.4184345239117961,1,268.2167068999988
TCN,speed_only,168,1,4,val,0.028808537872529714,1.347352370341749,3.3222450902920992,0.018814115666105205,1.347352370341749,4,357.8732493999996
TCN,speed_only,168,1,5,val,0.028364370264975666,1.168564152444443,3.298004939465745,0.01671414945412691,1.168564152444443,5,447.37845769998967
TCN,speed_only,168,1,6,val,0.027854204595372075,1.1944636193508018,3.3072234142763803,0.017001022886923255,1.168564152444443,5,536.9710376000003
TCN,speed_only,168,1,7,val,0.027656157109874555,1.278754827121666,3.3093140733715503,0.017877273279768166,1.168564152444443,5,626.6391890999948
TCN,speed_only,168,1,8,val,0.02725530151943994,1.2787660963991856,3.293123779455658,0.01756428573445211,1.168564152444443,5,716.2184791999898
TCN,speed_only,168,1,9,val,0.027412814344127137,1.4115326314823131,3.314847685807386,0.01912949915918998,1.168564152444443,5,805.628357900001
