horizon_hours,input_observed_ratio_bin,n,MAE,RMSE,sMAPE
1,q1_low,1952,0.7232292382443537,2.045381960927506,0.009651264364427373
1,q2_mid_low,3921,0.9707812688935019,2.633999253622594,0.01450883198758978
1,q3_mid_high,4454,0.9563731659031471,2.5308070520835595,0.012516148486708302
3,q1_low,2147,0.9383228445919269,1.7174536640650493,0.012649909491277034
3,q2_mid_low,3280,0.800199152202141,1.6258610690112725,0.010867835480788362
3,q3_mid_high,885,1.35160044653941,2.3496169767421087,0.01911941658779483
6,q1_low,3103,0.8605044503539292,1.5672425894738715,0.012188103873738965
6,q3_mid_high,1862,0.297331014073881,0.645933316599723,0.004788146004298356
6,q4_high,7201,0.9261767940047118,1.6788087782805794,0.012860955616895743
