file_name,original_path,copied_path,file_type,row_count,column_count,columns,related_panel,can_support_panel,notes
phase13_strong_baseline_metrics.csv,D:\2026_PD\outputs\locked\phase13_full\tables\phase13_strong_baseline_metrics.csv,01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\phase13_strong_baseline_metrics.csv,csv,105,18,phase|model|horizon|seed|train_n|val_n|test_n|node_count|feature_set|MAE|RMSE|MAPE|sMAPE|R2|fit_time_sec|inference_time_sec|config_hash|data_hash,Fig03,YES,candidate data
phase14_main_model_statistical_tests.csv,D:\2026_PD\outputs\tables\phase14_main_model_statistical_tests.csv,01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\phase14_main_model_statistical_tests.csv,csv,18,17,phase_source|comparison_type|horizon|seed_scope|reference_model_or_condition|compared_model_or_condition|n_pairs|reference_MAE_mean|compared_MAE_mean|relative_improvement_or_degradation_percent|test_name|statistic|p_value|p_value_corrected|effect_size|effect_size_type|significance_label,Fig03,YES,candidate data
phase14_final_mean_std_summary.csv,D:\2026_PD\outputs\tables\phase14_final_mean_std_summary.csv,01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\phase14_final_mean_std_summary.csv,csv,36,8,phase_source|model_or_condition|horizon|metric|mean|std|n_seeds|formatted_mean_std,Fig03,YES,candidate data
Figure3_seed_stability_source.csv,D:\2026_PD\outputs\manuscript_package\phase19_applied_intelligence\figures\Figure3_seed_stability_source.csv,01_FIGURE_CANDIDATE_DATA\Fig03_candidate_data\Figure3_seed_stability_source.csv,csv,105,7,model|horizon|seed|MAE|RMSE|sMAPE|R2,Fig03,YES,candidate data
