file_name,original_path,copied_path,file_type,row_count,column_count,columns,related_panel,can_support_panel,notes
Fig01_workflow_data.csv,D:\2026_PD\outputs\plot_data\Fig01_workflow_data.csv,01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\Fig01_workflow_data.csv,csv,10,11,phase|experiment_name|status|main_scope|key_outputs|main_conclusion|usable_for_paper|phase_order|short_label|figure_group|include_in_main_workflow,Fig01,YES,candidate data
data_inventory.csv,D:\2026_PD\outputs\tables\data_inventory.csv,01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\data_inventory.csv,csv,31,9,relative_path|absolute_path|file_name|extension|size_bytes|role_in_project|row_count|column_count|columns,Fig01,YES,candidate data
train_val_test_split_summary.csv,D:\2026_PD\outputs\tables\train_val_test_split_summary.csv,01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\train_val_test_split_summary.csv,csv,3,6,split|start_time|end_time|time_steps|rows|points,Fig01,YES,candidate data
coverage_by_granularity.csv,D:\2026_PD\data\raw\package_extracted\06_audit\coverage_by_granularity.csv,01_FIGURE_CANDIDATE_DATA\Fig01_candidate_data\coverage_by_granularity.csv,csv,3,17,freq_label|freq_alias|rows|nodes|time_steps|start_time|end_time|observed_slots|total_slots|coverage_pct|missing_pct|mean_reliability|median_reliability|mean_tti_observed|median_tti_observed|tti_gt_1_05_pct_observed|tti_gt_1_20_pct_observed,Fig01,YES,candidate data
