phase,stratification_type,stratum,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,relative_MAE_vs_best_stratum_percent,threshold_method,threshold_values,warning,error_rank
phase17,reliability,high,3,42,4167,1.345659791064371,2.256552077780248,0.0199146680514663,0.0198368418973206,0.986609590996805,79.51956595007665,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,3,2024,3645,0.9629585669037408,1.7670517796781249,0.0126499001582398,0.012548003221282,0.986221973468682,37.63506029247485,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,3,2024,4066,0.6996462709846253,1.3782943108707006,0.0078239259051355,0.0077316180934889,0.9803837185441692,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,3,2024,4167,1.2633437258979243,2.150711181988208,0.0190349193837089,0.0187170268636976,0.987836254999561,80.56892150943605,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,3,2025,3645,0.9312276377108852,1.7468152517203444,0.0122797253981432,0.0121232028413671,0.9865357422925476,32.41520892189595,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,3,2025,4066,0.7032633526713403,1.3992406289716377,0.0077972770357431,0.0076995032473511,0.9797829599634862,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,3,2025,4167,1.2792919947141534,2.1921981012884726,0.0192465381731318,0.0188909243972154,0.9873624549900132,81.90795665020406,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,3,2026,3645,1.0344255638384197,1.823510789597432,0.013825597663802,0.0139003857734804,0.9853274654825064,24.156880722586887,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,3,2026,4066,0.83316007765185,1.435032781073191,0.0093633652605355,0.009323331019612,0.978735439991754,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,3,2026,4167,1.338426194947373,2.1748865511928965,0.0199001603030151,0.019968155237187,0.9875612615397066,60.64454248930745,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,3,3407,3645,0.9757800940787024,1.7726463155676877,0.0126430302779223,0.0125639333407685,0.9861345921183806,31.13953533247223,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
