phase,file_name,original_path,bytes,readable,non_empty,columns,row_count
phase13,HA_h3_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h3_seed42.parquet,109283,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,HA_h6_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2024.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,HA_h6_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2025.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,HA_h6_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed2026.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,HA_h6_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed3407.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,HA_h6_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\HA_h6_seed42.parquet,120399,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,Persistence_h1_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed2024.parquet,99999,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,Persistence_h1_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed2025.parquet,99999,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,Persistence_h1_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed2026.parquet,99999,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,Persistence_h1_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed3407.parquet,99999,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,Persistence_h1_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h1_seed42.parquet,99999,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,Persistence_h3_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed2024.parquet,105512,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,Persistence_h3_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed2025.parquet,105512,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,Persistence_h3_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed2026.parquet,105512,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,Persistence_h3_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed3407.parquet,105512,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,Persistence_h3_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h3_seed42.parquet,105512,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,Persistence_h6_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed2024.parquet,116759,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,Persistence_h6_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed2025.parquet,116759,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,Persistence_h6_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed2026.parquet,116759,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,Persistence_h6_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed3407.parquet,116759,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,Persistence_h6_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed42.parquet,116759,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
