phase,file_name,model,horizon,seed,mae_recomputed,rmse_recomputed,metric_row_found,mae_match,rmse_match
phase13,SeasonalHA_h6_seed3407.parquet,SeasonalHA,6,3407,0.9103676676750183,1.5415282249450684,True,True,True
phase13,SeasonalHA_h6_seed42.parquet,SeasonalHA,6,42,0.9103676676750183,1.5415282249450684,True,True,True
phase13,ST-Transformer-lite_h1_seed2024.parquet,ST-Transformer-lite,1,2024,1.0536607503890991,2.445787191390991,True,True,True
phase13,ST-Transformer-lite_h1_seed2025.parquet,ST-Transformer-lite,1,2025,1.008697509765625,2.426542282104492,True,True,True
phase13,ST-Transformer-lite_h1_seed2026.parquet,ST-Transformer-lite,1,2026,1.1148924827575684,2.4751620292663574,True,True,True
phase13,ST-Transformer-lite_h1_seed3407.parquet,ST-Transformer-lite,1,3407,1.0221400260925293,2.5862653255462646,True,True,True
phase13,ST-Transformer-lite_h1_seed42.parquet,ST-Transformer-lite,1,42,1.1339110136032104,2.4934463500976562,True,True,True
phase13,ST-Transformer-lite_h3_seed2024.parquet,ST-Transformer-lite,3,2024,1.0312761068344116,1.8740136623382568,True,True,True
phase13,ST-Transformer-lite_h3_seed2025.parquet,ST-Transformer-lite,3,2025,1.0004096031188965,1.8352106809616089,True,True,True
phase13,ST-Transformer-lite_h3_seed2026.parquet,ST-Transformer-lite,3,2026,0.9530041217803955,1.8258603811264038,True,True,True
phase13,ST-Transformer-lite_h3_seed3407.parquet,ST-Transformer-lite,3,3407,0.9400040507316589,1.7767921686172485,True,True,True
phase13,ST-Transformer-lite_h3_seed42.parquet,ST-Transformer-lite,3,42,0.9987882375717163,1.9089678525924683,True,True,True
phase13,ST-Transformer-lite_h6_seed2024.parquet,ST-Transformer-lite,6,2024,0.8900083899497986,1.5310866832733154,True,True,True
phase13,ST-Transformer-lite_h6_seed2025.parquet,ST-Transformer-lite,6,2025,0.8797633647918701,1.4890291690826416,True,True,True
phase13,ST-Transformer-lite_h6_seed2026.parquet,ST-Transformer-lite,6,2026,0.9187153577804565,1.6326448917388916,True,True,True
phase13,ST-Transformer-lite_h6_seed3407.parquet,ST-Transformer-lite,6,3407,0.9311357140541077,1.7708346843719482,True,True,True
phase13,ST-Transformer-lite_h6_seed42.parquet,ST-Transformer-lite,6,42,0.8868064284324646,1.556488037109375,True,True,True
phase13,TCN_h1_seed2024.parquet,TCN,1,2024,1.2894024848937988,2.550351619720459,True,True,True
phase13,TCN_h1_seed2025.parquet,TCN,1,2025,1.0763353109359741,2.4200854301452637,True,True,True
phase13,TCN_h1_seed2026.parquet,TCN,1,2026,1.1523839235305786,2.4317376613616943,True,True,True
phase13,TCN_h1_seed3407.parquet,TCN,1,3407,1.1110539436340332,2.410466432571411,True,True,True
phase13,TCN_h1_seed42.parquet,TCN,1,42,1.0808279514312744,2.410745859146118,True,True,True
phase13,TCN_h3_seed2024.parquet,TCN,3,2024,0.9782033562660217,1.7975558042526245,True,True,True
phase13,TCN_h3_seed2025.parquet,TCN,3,2025,0.9752991795539856,1.8145272731781006,True,True,True
phase13,TCN_h3_seed2026.parquet,TCN,3,2026,1.0721781253814697,1.8397670984268188,True,True,True
phase13,TCN_h3_seed3407.parquet,TCN,3,3407,1.008730173110962,1.8013728857040405,True,True,True
phase13,TCN_h3_seed42.parquet,TCN,3,42,1.0222465991973877,1.8519775867462158,True,True,True
phase13,TCN_h6_seed2024.parquet,TCN,6,2024,0.9421427845954895,1.5192365646362305,True,True,True
phase13,TCN_h6_seed2025.parquet,TCN,6,2025,0.9584343433380127,1.563567042350769,True,True,True
phase13,TCN_h6_seed2026.parquet,TCN,6,2026,0.9204931259155273,1.497741460800171,True,True,True
phase13,TCN_h6_seed3407.parquet,TCN,6,3407,0.9484444856643677,1.527858018875122,True,True,True
phase13,TCN_h6_seed42.parquet,TCN,6,42,0.9193060398101807,1.5223382711410522,True,True,True
phase13,XGBoost_h1_seed2024.parquet,XGBoost,1,2024,0.9666126370429993,2.2575674057006836,True,True,True
phase13,XGBoost_h1_seed2025.parquet,XGBoost,1,2025,0.9864561557769775,2.300100803375244,True,True,True
phase13,XGBoost_h1_seed2026.parquet,XGBoost,1,2026,0.971944272518158,2.2741928100585938,True,True,True
phase13,XGBoost_h1_seed3407.parquet,XGBoost,1,3407,0.9674360752105713,2.265868663787842,True,True,True
phase13,XGBoost_h1_seed42.parquet,XGBoost,1,42,0.9754881858825684,2.2737300395965576,True,True,True
phase13,XGBoost_h3_seed2024.parquet,XGBoost,3,2024,0.8725683093070984,1.6560856103897095,True,True,True
phase13,XGBoost_h3_seed2025.parquet,XGBoost,3,2025,0.8654068112373352,1.6517152786254883,True,True,True
phase13,XGBoost_h3_seed2026.parquet,XGBoost,3,2026,0.877471923828125,1.6622769832611084,True,True,True
phase13,XGBoost_h3_seed3407.parquet,XGBoost,3,3407,0.8638691902160645,1.6527684926986694,True,True,True
phase13,XGBoost_h3_seed42.parquet,XGBoost,3,42,0.8652055859565735,1.6477636098861694,True,True,True
phase13,XGBoost_h6_seed2024.parquet,XGBoost,6,2024,0.7843854427337646,1.3487850427627563,True,True,True
phase13,XGBoost_h6_seed2025.parquet,XGBoost,6,2025,0.7888537049293518,1.352868914604187,True,True,True
phase13,XGBoost_h6_seed2026.parquet,XGBoost,6,2026,0.7870403528213501,1.3547760248184204,True,True,True
phase13,XGBoost_h6_seed3407.parquet,XGBoost,6,3407,0.789797306060791,1.3480669260025024,True,True,True
phase13,XGBoost_h6_seed42.parquet,XGBoost,6,42,0.7833349108695984,1.348239779472351,True,True,True
